#ARTIST:Herman van Veen
#TITLE:Hilversum III
#MP3:Herman van Veen - Hilversum III.mp3
#LANGUAGE:Dutch
#BPM:182
#GAP:31700
#VIDEO:Herman van Veen  Hilversum III.flv
#VIDEOGAP:-8,2
: 2075 5 0 stond 
: 2080 3 -8 nog 
: 2084 14 -7 niet, 
- 2108
: 2120 4 2 maar 
: 2124 2 2 ie
: 2127 3 0 der 
: 2131 12 -1 had 
: 2146 2 -5 zijn 
: 2148 2 -3 ei
: 2152 2 -1 gen 
* 2155 13 -3 stem. 
- 2178
: 2185 2 4 Op 
: 2187 5 4 el
: 2193 2 2 ke 
: 2195 6 0 stei
: 2201 4 -1 ger 
: 2205 4 0 klonk 
: 2210 3 -8 een 
: 2213 11 -7 lied,
- 2234
: 2249 6 2 van 
: 2255 3 2 Pal
: 2258 4 0 jas 
: 2262 10 -1 of 
: 2276 2 -5 Ja
: 2278 3 -3 ru
: 2281 3 0 za
: 2285 10 0 lem. 
E
